Disease,Biosample_Type,Gene
Chronic_Kidney_Disease,Kidney_Tissue,SLC4A1
Chronic_Kidney_Disease,Kidney_Tissue,AQP2
Chronic_Kidney_Disease,Kidney_Tissue,AVPR2
Chronic_Kidney_Disease,Kidney_Tissue,WNK1
Chronic_Kidney_Disease,Kidney_Tissue,WNK4
Chronic_Kidney_Disease,Kidney_Tissue,KLHL3
Chronic_Kidney_Disease,Kidney_Tissue,SCNN1A
Chronic_Kidney_Disease,Kidney_Tissue,SCNN1B
Chronic_Kidney_Disease,Kidney_Tissue,SCNN1G
Chronic_Kidney_Disease,Kidney_Tissue,ACE
Chronic_Kidney_Disease,Kidney_Tissue,ACE2
Chronic_Kidney_Disease,Kidney_Tissue,AGT
Chronic_Kidney_Disease,Kidney_Tissue,REN
Chronic_Kidney_Disease,Kidney_Tissue,AGTR1
Chronic_Kidney_Disease,Kidney_Tissue,NR3C2
Chronic_Kidney_Disease,Kidney_Tissue,CYP11B2
Chronic_Kidney_Disease,Kidney_Tissue,TGFB1
Chronic_Kidney_Disease,Kidney_Tissue,TGFBR1
Chronic_Kidney_Disease,Kidney_Tissue,TGFBR2
Chronic_Kidney_Disease,Kidney_Tissue,SMAD3
Chronic_Kidney_Disease,Kidney_Tissue,CTGF
Chronic_Kidney_Disease,Kidney_Tissue,PDGFB
Chronic_Kidney_Disease,Kidney_Tissue,PDGFRB
Chronic_Kidney_Disease,Kidney_Tissue,COL1A1
Chronic_Kidney_Disease,Kidney_Tissue,COL3A1
Chronic_Kidney_Disease,Kidney_Tissue,FN1
Chronic_Kidney_Disease,Kidney_Tissue,MMP2
Chronic_Kidney_Disease,Kidney_Tissue,MMP9
Chronic_Kidney_Disease,Kidney_Tissue,TIMP1
Chronic_Kidney_Disease,Kidney_Tissue,LOX
Chronic_Kidney_Disease,Kidney_Tissue,SERPINE1
Chronic_Kidney_Disease,Kidney_Tissue,SNAI1
Chronic_Kidney_Disease,Kidney_Tissue,TNF
Chronic_Kidney_Disease,Kidney_Tissue,IL6
Chronic_Kidney_Disease,Kidney_Tissue,IL1B
Chronic_Kidney_Disease,Kidney_Tissue,CCL2
Chronic_Kidney_Disease,Kidney_Tissue,NFKB1
Chronic_Kidney_Disease,Kidney_Tissue,NLRP3
Chronic_Kidney_Disease,Kidney_Tissue,TLR4
Chronic_Kidney_Disease,Kidney_Tissue,C3
Chronic_Kidney_Disease,Kidney_Tissue,CFH
Chronic_Kidney_Disease,Kidney_Tissue,CFI
Chronic_Kidney_Disease,Kidney_Tissue,CFB
Chronic_Kidney_Disease,Kidney_Tissue,CD46
Chronic_Kidney_Disease,Kidney_Tissue,THBD
Chronic_Kidney_Disease,Kidney_Tissue,HAVCR1
Chronic_Kidney_Disease,Kidney_Tissue,LCN2
Chronic_Kidney_Disease,Kidney_Tissue,UMOD
Chronic_Kidney_Disease,Kidney_Tissue,HMOX1
Chronic_Kidney_Disease,Kidney_Tissue,KL
Chronic_Kidney_Disease,Kidney_Tissue,VEGFA
Chronic_Kidney_Disease,Kidney_Tissue,AGER
Chronic_Kidney_Disease,Kidney_Tissue,AKR1B1
Chronic_Kidney_Disease,Kidney_Tissue,MUC1
Chronic_Kidney_Disease,Kidney_Tissue,HNF1B
Chronic_Kidney_Disease,Kidney_Tissue,APOL1
Chronic_Kidney_Disease,Kidney_Tissue,SHROOM3
Chronic_Kidney_Disease,Kidney_Tissue,DAB2
Chronic_Kidney_Disease,Kidney_Tissue,GATM
Chronic_Kidney_Disease,Kidney_Tissue,DACH1
Chronic_Kidney_Disease,Kidney_Tissue,PRKAG2
Chronic_Kidney_Disease,Kidney_Tissue,SLC22A2
Chronic_Kidney_Disease,Kidney_Tissue,SLC7A9
Chronic_Kidney_Disease,Kidney_Tissue,SLC5A2
Chronic_Kidney_Disease,Kidney_Tissue,EPO
Chronic_Kidney_Disease,Kidney_Tissue,EPAS1
Chronic_Kidney_Disease,Kidney_Tissue,EGLN1
