Disease,Biosample_Type,Gene
Coronary_Artery_Disease,Whole_Blood,FES
Coronary_Artery_Disease,Whole_Blood,CH25H
Coronary_Artery_Disease,Whole_Blood,ZNF259
Coronary_Artery_Disease,Whole_Blood,BUD13
Coronary_Artery_Disease,Whole_Blood,ZPR1
Coronary_Artery_Disease,Whole_Blood,PEMT
Coronary_Artery_Disease,Whole_Blood,TRIB1
Coronary_Artery_Disease,Whole_Blood,TRIB3
Coronary_Artery_Disease,Whole_Blood,ARHGEF26
Coronary_Artery_Disease,Whole_Blood,RAI1
Coronary_Artery_Disease,Whole_Blood,UBE2Z
Coronary_Artery_Disease,Whole_Blood,SWAP70
Coronary_Artery_Disease,Whole_Blood,DAB2IP
Coronary_Artery_Disease,Whole_Blood,KCNK5
Coronary_Artery_Disease,Whole_Blood,FGF5
Coronary_Artery_Disease,Whole_Blood,PLCE1
Coronary_Artery_Disease,Whole_Blood,ATP2B1
Coronary_Artery_Disease,Whole_Blood,MYH11
Coronary_Artery_Disease,Whole_Blood,ACTA2
Coronary_Artery_Disease,Whole_Blood,MYOCD
Coronary_Artery_Disease,Whole_Blood,TAGLN
Coronary_Artery_Disease,Whole_Blood,CNN1
Coronary_Artery_Disease,Whole_Blood,PDGFRB
Coronary_Artery_Disease,Whole_Blood,PDGFB
Coronary_Artery_Disease,Whole_Blood,TGFB1
Coronary_Artery_Disease,Whole_Blood,TGFB2
Coronary_Artery_Disease,Whole_Blood,TGFBR1
Coronary_Artery_Disease,Whole_Blood,TGFBR2
Coronary_Artery_Disease,Whole_Blood,FBN1
Coronary_Artery_Disease,Whole_Blood,LOX
Coronary_Artery_Disease,Whole_Blood,LOXL2
Coronary_Artery_Disease,Whole_Blood,VEGFA
Coronary_Artery_Disease,Whole_Blood,VEGFB
Coronary_Artery_Disease,Whole_Blood,KDR
Coronary_Artery_Disease,Whole_Blood,FLT1
Coronary_Artery_Disease,Whole_Blood,ANGPT1
Coronary_Artery_Disease,Whole_Blood,ANGPT2
Coronary_Artery_Disease,Whole_Blood,TEK
Coronary_Artery_Disease,Whole_Blood,EDN1
Coronary_Artery_Disease,Whole_Blood,EDN3
Coronary_Artery_Disease,Whole_Blood,PTGS1
Coronary_Artery_Disease,Whole_Blood,PTGS2
Coronary_Artery_Disease,Whole_Blood,PTGIS
Coronary_Artery_Disease,Whole_Blood,TBXAS1
Coronary_Artery_Disease,Whole_Blood,TBXA2R
Coronary_Artery_Disease,Whole_Blood,CYP2J2
Coronary_Artery_Disease,Whole_Blood,CYP4F2
Coronary_Artery_Disease,Whole_Blood,CD36
Coronary_Artery_Disease,Whole_Blood,MSR1
Coronary_Artery_Disease,Whole_Blood,OLR1
Coronary_Artery_Disease,Whole_Blood,ABCG1
Coronary_Artery_Disease,Whole_Blood,STAB1
Coronary_Artery_Disease,Whole_Blood,STAB2
Coronary_Artery_Disease,Whole_Blood,CD68
Coronary_Artery_Disease,Whole_Blood,ITGAM
Coronary_Artery_Disease,Whole_Blood,CSF1
Coronary_Artery_Disease,Whole_Blood,CSF1R
Coronary_Artery_Disease,Whole_Blood,CCL2
Coronary_Artery_Disease,Whole_Blood,CCR2
Coronary_Artery_Disease,Whole_Blood,CCR5
Coronary_Artery_Disease,Whole_Blood,CX3CR1
Coronary_Artery_Disease,Whole_Blood,CX3CL1
Coronary_Artery_Disease,Whole_Blood,CCL5
Coronary_Artery_Disease,Whole_Blood,CXCL8
Coronary_Artery_Disease,Whole_Blood,CXCL10
Coronary_Artery_Disease,Whole_Blood,CXCR4
Coronary_Artery_Disease,Whole_Blood,VCAM1
Coronary_Artery_Disease,Whole_Blood,ICAM1
Coronary_Artery_Disease,Whole_Blood,SELE
Coronary_Artery_Disease,Whole_Blood,SELP
Coronary_Artery_Disease,Whole_Blood,PECAM1
Coronary_Artery_Disease,Whole_Blood,IL18
Coronary_Artery_Disease,Whole_Blood,IL10
Coronary_Artery_Disease,Whole_Blood,IL17A
Coronary_Artery_Disease,Whole_Blood,TNFRSF1A
Coronary_Artery_Disease,Whole_Blood,TNFRSF1B
Coronary_Artery_Disease,Whole_Blood,TNFSF11
Coronary_Artery_Disease,Whole_Blood,MIF
Coronary_Artery_Disease,Whole_Blood,TNFRSF11B
Coronary_Artery_Disease,Whole_Blood,TCF7L2
Coronary_Artery_Disease,Whole_Blood,SLC30A8
Coronary_Artery_Disease,Whole_Blood,KCNJ11
Coronary_Artery_Disease,Whole_Blood,FTO
Coronary_Artery_Disease,Whole_Blood,PPARG
Coronary_Artery_Disease,Whole_Blood,PPARA
Coronary_Artery_Disease,Whole_Blood,PPARGC1A
Coronary_Artery_Disease,Whole_Blood,ADIPOQ
Coronary_Artery_Disease,Whole_Blood,LEP
Coronary_Artery_Disease,Whole_Blood,LEPR
Coronary_Artery_Disease,Whole_Blood,INSR
Coronary_Artery_Disease,Whole_Blood,IRS1
Coronary_Artery_Disease,Whole_Blood,IRS2
Coronary_Artery_Disease,Whole_Blood,GP1BA
Coronary_Artery_Disease,Whole_Blood,GP1BB
Coronary_Artery_Disease,Whole_Blood,GP6
Coronary_Artery_Disease,Whole_Blood,P2RY12
Coronary_Artery_Disease,Whole_Blood,PEAR1
Coronary_Artery_Disease,Whole_Blood,PTGES
Coronary_Artery_Disease,Whole_Blood,PLAUR
Coronary_Artery_Disease,Whole_Blood,PLAU
Coronary_Artery_Disease,Whole_Blood,THBD
Coronary_Artery_Disease,Whole_Blood,MMP1
Coronary_Artery_Disease,Whole_Blood,MMP2
Coronary_Artery_Disease,Whole_Blood,MMP3
Coronary_Artery_Disease,Whole_Blood,MMP7
Coronary_Artery_Disease,Whole_Blood,MMP9
Coronary_Artery_Disease,Whole_Blood,MMP12
Coronary_Artery_Disease,Whole_Blood,TIMP1
Coronary_Artery_Disease,Whole_Blood,TIMP2
Coronary_Artery_Disease,Whole_Blood,TIMP3
Coronary_Artery_Disease,Whole_Blood,ADAMTS4
Coronary_Artery_Disease,Whole_Blood,ADAMTS5
Coronary_Artery_Disease,Whole_Blood,COL1A1
Coronary_Artery_Disease,Whole_Blood,COL3A1
Coronary_Artery_Disease,Whole_Blood,COL5A1
Coronary_Artery_Disease,Whole_Blood,ELN
Coronary_Artery_Disease,Whole_Blood,BGN
Coronary_Artery_Disease,Whole_Blood,DCN
Coronary_Artery_Disease,Whole_Blood,FBLN5
Coronary_Artery_Disease,Whole_Blood,SOD1
Coronary_Artery_Disease,Whole_Blood,SOD2
Coronary_Artery_Disease,Whole_Blood,SOD3
Coronary_Artery_Disease,Whole_Blood,CAT
Coronary_Artery_Disease,Whole_Blood,GPX1
Coronary_Artery_Disease,Whole_Blood,GPX4
Coronary_Artery_Disease,Whole_Blood,NFE2L2
Coronary_Artery_Disease,Whole_Blood,KEAP1
Coronary_Artery_Disease,Whole_Blood,CYBA
Coronary_Artery_Disease,Whole_Blood,CYBB
Coronary_Artery_Disease,Whole_Blood,NCF1
Coronary_Artery_Disease,Whole_Blood,NCF2
Coronary_Artery_Disease,Whole_Blood,PON1
Coronary_Artery_Disease,Whole_Blood,PON2
Coronary_Artery_Disease,Whole_Blood,PON3
Coronary_Artery_Disease,Whole_Blood,MPO
Coronary_Artery_Disease,Whole_Blood,MGP
Coronary_Artery_Disease,Whole_Blood,BMP2
Coronary_Artery_Disease,Whole_Blood,BMP4
Coronary_Artery_Disease,Whole_Blood,BMP6
Coronary_Artery_Disease,Whole_Blood,RUNX2
Coronary_Artery_Disease,Whole_Blood,SPP1
Coronary_Artery_Disease,Whole_Blood,ENPP1
Coronary_Artery_Disease,Whole_Blood,ALPL
Coronary_Artery_Disease,Whole_Blood,NT5E
Coronary_Artery_Disease,Whole_Blood,FGF23
Coronary_Artery_Disease,Whole_Blood,KL
Coronary_Artery_Disease,Whole_Blood,TP53
Coronary_Artery_Disease,Whole_Blood,BAX
Coronary_Artery_Disease,Whole_Blood,BCL2
Coronary_Artery_Disease,Whole_Blood,CASP3
Coronary_Artery_Disease,Whole_Blood,CASP8
Coronary_Artery_Disease,Whole_Blood,FAS
Coronary_Artery_Disease,Whole_Blood,FASLG
Coronary_Artery_Disease,Whole_Blood,ATG5
Coronary_Artery_Disease,Whole_Blood,ATG7
Coronary_Artery_Disease,Whole_Blood,BECN1
Coronary_Artery_Disease,Whole_Blood,NOTCH1
Coronary_Artery_Disease,Whole_Blood,NOTCH3
Coronary_Artery_Disease,Whole_Blood,JAG1
Coronary_Artery_Disease,Whole_Blood,DLL4
Coronary_Artery_Disease,Whole_Blood,CTNNB1
Coronary_Artery_Disease,Whole_Blood,WNT5A
Coronary_Artery_Disease,Whole_Blood,YAP1
Coronary_Artery_Disease,Whole_Blood,WWTR1
Coronary_Artery_Disease,Whole_Blood,HSPA5
Coronary_Artery_Disease,Whole_Blood,DDIT3
Coronary_Artery_Disease,Whole_Blood,ATF4
Coronary_Artery_Disease,Whole_Blood,ATF6
Coronary_Artery_Disease,Whole_Blood,XBP1
Coronary_Artery_Disease,Whole_Blood,ERN1
Coronary_Artery_Disease,Whole_Blood,FOXO3
Coronary_Artery_Disease,Whole_Blood,SIRT1
Coronary_Artery_Disease,Whole_Blood,SIRT3
Coronary_Artery_Disease,Whole_Blood,KLB
Coronary_Artery_Disease,Whole_Blood,MTHFR
Coronary_Artery_Disease,Whole_Blood,CBS
Coronary_Artery_Disease,Whole_Blood,CYP2C19
Coronary_Artery_Disease,Whole_Blood,ABCB1
Coronary_Artery_Disease,Whole_Blood,SLCO1B1
Coronary_Artery_Disease,Whole_Blood,VKORC1
Coronary_Artery_Disease,Whole_Blood,CYP2C9
Coronary_Artery_Disease,Whole_Blood,CYP3A4
Coronary_Artery_Disease,Whole_Blood,CYP3A5
Coronary_Artery_Disease,Whole_Blood,HIF1A
Coronary_Artery_Disease,Whole_Blood,EPAS1
Coronary_Artery_Disease,Whole_Blood,EGLN1
Coronary_Artery_Disease,Whole_Blood,VHL
Coronary_Artery_Disease,Whole_Blood,APOM
Coronary_Artery_Disease,Whole_Blood,TWIST1
Coronary_Artery_Disease,Whole_Blood,SCAP
Coronary_Artery_Disease,Whole_Blood,INSIG1
Coronary_Artery_Disease,Whole_Blood,INSIG2
Coronary_Artery_Disease,Whole_Blood,PLTP
Coronary_Artery_Disease,Whole_Blood,DAGLB
Coronary_Artery_Disease,Whole_Blood,OASL
Coronary_Artery_Disease,Whole_Blood,NOS1AP
Coronary_Artery_Disease,Whole_Blood,MEF2A
Coronary_Artery_Disease,Whole_Blood,JAK2
Coronary_Artery_Disease,Whole_Blood,TET2
Coronary_Artery_Disease,Whole_Blood,DNMT3A
Coronary_Artery_Disease,Whole_Blood,ASXL1
Coronary_Artery_Disease,Whole_Blood,PPM1D
Coronary_Artery_Disease,Whole_Blood,CYP11B2
Coronary_Artery_Disease,Whole_Blood,NR3C2
Coronary_Artery_Disease,Whole_Blood,HSD11B2
Coronary_Artery_Disease,Whole_Blood,SCNN1A
Coronary_Artery_Disease,Whole_Blood,SCNN1B
