Disease,Biosample_Type,Gene
Alzheimers_Disease,Brain_Tissue,NTRK2
Alzheimers_Disease,Brain_Tissue,SNCA
Alzheimers_Disease,Brain_Tissue,SNAP25
Alzheimers_Disease,Brain_Tissue,SYN1
Alzheimers_Disease,Brain_Tissue,SYP
Alzheimers_Disease,Brain_Tissue,DLG4
Alzheimers_Disease,Brain_Tissue,GRIN2A
Alzheimers_Disease,Brain_Tissue,GRIN2B
Alzheimers_Disease,Brain_Tissue,GRIN1
Alzheimers_Disease,Brain_Tissue,GRIA1
Alzheimers_Disease,Brain_Tissue,CHRNA7
Alzheimers_Disease,Brain_Tissue,CHRNA4
Alzheimers_Disease,Brain_Tissue,ACHE
Alzheimers_Disease,Brain_Tissue,BCHE
Alzheimers_Disease,Brain_Tissue,CHAT
Alzheimers_Disease,Brain_Tissue,SLC18A3
Alzheimers_Disease,Brain_Tissue,EPHA1
Alzheimers_Disease,Brain_Tissue,ZCWPW1
Alzheimers_Disease,Brain_Tissue,SLC24A4
Alzheimers_Disease,Brain_Tissue,RIN3
Alzheimers_Disease,Brain_Tissue,CELF1
Alzheimers_Disease,Brain_Tissue,FERMT2
Alzheimers_Disease,Brain_Tissue,INPP5D
Alzheimers_Disease,Brain_Tissue,PTK2B
Alzheimers_Disease,Brain_Tissue,HLA-DRB1
Alzheimers_Disease,Brain_Tissue,HLA-DRB5
Alzheimers_Disease,Brain_Tissue,HLA-DQA1
Alzheimers_Disease,Brain_Tissue,HLA-DQB1
Alzheimers_Disease,Brain_Tissue,ECHDC3
Alzheimers_Disease,Brain_Tissue,SPI1
Alzheimers_Disease,Brain_Tissue,PLCG2
Alzheimers_Disease,Brain_Tissue,ABI3
Alzheimers_Disease,Brain_Tissue,MEF2C
Alzheimers_Disease,Brain_Tissue,CASS4
Alzheimers_Disease,Brain_Tissue,NME8
Alzheimers_Disease,Brain_Tissue,CR2
Alzheimers_Disease,Brain_Tissue,FRMD4A
Alzheimers_Disease,Brain_Tissue,AP4M1
Alzheimers_Disease,Brain_Tissue,AP4E1
Alzheimers_Disease,Brain_Tissue,WWOX
Alzheimers_Disease,Brain_Tissue,USP6NL
Alzheimers_Disease,Brain_Tissue,BCKDK
Alzheimers_Disease,Brain_Tissue,IL34
Alzheimers_Disease,Brain_Tissue,TSPAN14
Alzheimers_Disease,Brain_Tissue,BLNK
Alzheimers_Disease,Brain_Tissue,MAF
Alzheimers_Disease,Brain_Tissue,RHOH
Alzheimers_Disease,Brain_Tissue,WDR81
Alzheimers_Disease,Brain_Tissue,JAZF1
Alzheimers_Disease,Brain_Tissue,TNIP1
Alzheimers_Disease,Brain_Tissue,SIGLEC11
Alzheimers_Disease,Brain_Tissue,LILRB2
Alzheimers_Disease,Brain_Tissue,CTSH
Alzheimers_Disease,Brain_Tissue,SHARPIN
Alzheimers_Disease,Brain_Tissue,TAOK1
Alzheimers_Disease,Brain_Tissue,STK39
Alzheimers_Disease,Brain_Tissue,BRSK1
Alzheimers_Disease,Brain_Tissue,PPP3CA
Alzheimers_Disease,Brain_Tissue,PPP1CA
Alzheimers_Disease,Brain_Tissue,ARC
Alzheimers_Disease,Brain_Tissue,CAMK4
Alzheimers_Disease,Brain_Tissue,CREB1
Alzheimers_Disease,Brain_Tissue,CREBBP
Alzheimers_Disease,Brain_Tissue,PRKACA
Alzheimers_Disease,Brain_Tissue,RHEB
Alzheimers_Disease,Brain_Tissue,MTOR
Alzheimers_Disease,Brain_Tissue,RPS6KB1
Alzheimers_Disease,Brain_Tissue,EEF2K
Alzheimers_Disease,Brain_Tissue,GRIN3A
Alzheimers_Disease,Brain_Tissue,GRIA2
Alzheimers_Disease,Brain_Tissue,GRIA3
Alzheimers_Disease,Brain_Tissue,GABBR1
Alzheimers_Disease,Brain_Tissue,GABRA1
Alzheimers_Disease,Brain_Tissue,HTR2A
Alzheimers_Disease,Brain_Tissue,HTR6
Alzheimers_Disease,Brain_Tissue,MAOA
Alzheimers_Disease,Brain_Tissue,MAOB
Alzheimers_Disease,Brain_Tissue,COMT
Alzheimers_Disease,Brain_Tissue,DBH
Alzheimers_Disease,Brain_Tissue,TH
Alzheimers_Disease,Brain_Tissue,IDE
Alzheimers_Disease,Brain_Tissue,MME
Alzheimers_Disease,Brain_Tissue,ECE1
Alzheimers_Disease,Brain_Tissue,ACE
Alzheimers_Disease,Brain_Tissue,ACE2
Alzheimers_Disease,Brain_Tissue,HSPA8
Alzheimers_Disease,Brain_Tissue,HSPA1A
Alzheimers_Disease,Brain_Tissue,HSP90AA1
Alzheimers_Disease,Brain_Tissue,HSPB1
Alzheimers_Disease,Brain_Tissue,DNAJB6
Alzheimers_Disease,Brain_Tissue,UCHL1
Alzheimers_Disease,Brain_Tissue,CST3
Alzheimers_Disease,Brain_Tissue,VEGFA
Alzheimers_Disease,Brain_Tissue,NOS3
Alzheimers_Disease,Brain_Tissue,AGT
Alzheimers_Disease,Brain_Tissue,AGTR1
Alzheimers_Disease,Brain_Tissue,PLAT
Alzheimers_Disease,Brain_Tissue,MMP2
Alzheimers_Disease,Brain_Tissue,MMP9
Alzheimers_Disease,Brain_Tissue,TIMP1
Alzheimers_Disease,Brain_Tissue,VCAM1
Alzheimers_Disease,Brain_Tissue,ICAM1
Alzheimers_Disease,Brain_Tissue,CDH5
Alzheimers_Disease,Brain_Tissue,TFAM
Alzheimers_Disease,Brain_Tissue,NDUFS1
Alzheimers_Disease,Brain_Tissue,NDUFV1
Alzheimers_Disease,Brain_Tissue,SDHA
Alzheimers_Disease,Brain_Tissue,COX4I1
Alzheimers_Disease,Brain_Tissue,ATP5F1A
Alzheimers_Disease,Brain_Tissue,SOD1
Alzheimers_Disease,Brain_Tissue,SOD2
Alzheimers_Disease,Brain_Tissue,CAT
Alzheimers_Disease,Brain_Tissue,GPX1
Alzheimers_Disease,Brain_Tissue,GPX4
Alzheimers_Disease,Brain_Tissue,NFE2L2
Alzheimers_Disease,Brain_Tissue,KEAP1
Alzheimers_Disease,Brain_Tissue,TXN
Alzheimers_Disease,Brain_Tissue,PRDX1
Alzheimers_Disease,Brain_Tissue,GFAP
Alzheimers_Disease,Brain_Tissue,AQP4
Alzheimers_Disease,Brain_Tissue,AQP1
Alzheimers_Disease,Brain_Tissue,S100B
Alzheimers_Disease,Brain_Tissue,ALDH1L1
Alzheimers_Disease,Brain_Tissue,SLC1A2
Alzheimers_Disease,Brain_Tissue,SLC1A3
Alzheimers_Disease,Brain_Tissue,GLUL
Alzheimers_Disease,Brain_Tissue,VIM
Alzheimers_Disease,Brain_Tissue,NES
Alzheimers_Disease,Brain_Tissue,IL1A
Alzheimers_Disease,Brain_Tissue,IL1B
Alzheimers_Disease,Brain_Tissue,IL1RN
Alzheimers_Disease,Brain_Tissue,IL1R1
Alzheimers_Disease,Brain_Tissue,IL6
Alzheimers_Disease,Brain_Tissue,IL6R
Alzheimers_Disease,Brain_Tissue,IL6ST
Alzheimers_Disease,Brain_Tissue,IL10
Alzheimers_Disease,Brain_Tissue,IL18
Alzheimers_Disease,Brain_Tissue,TNF
Alzheimers_Disease,Brain_Tissue,TNFRSF1A
Alzheimers_Disease,Brain_Tissue,TNFRSF1B
Alzheimers_Disease,Brain_Tissue,TLR2
Alzheimers_Disease,Brain_Tissue,TLR4
Alzheimers_Disease,Brain_Tissue,TLR9
Alzheimers_Disease,Brain_Tissue,MYD88
Alzheimers_Disease,Brain_Tissue,NLRP3
Alzheimers_Disease,Brain_Tissue,PYCARD
Alzheimers_Disease,Brain_Tissue,CASP1
Alzheimers_Disease,Brain_Tissue,NFKB1
Alzheimers_Disease,Brain_Tissue,RELA
Alzheimers_Disease,Brain_Tissue,IKBKB
Alzheimers_Disease,Brain_Tissue,CCL2
Alzheimers_Disease,Brain_Tissue,CCL3
Alzheimers_Disease,Brain_Tissue,CCL5
Alzheimers_Disease,Brain_Tissue,CXCL8
Alzheimers_Disease,Brain_Tissue,CXCL10
Alzheimers_Disease,Brain_Tissue,STAT1
Alzheimers_Disease,Brain_Tissue,STAT3
Alzheimers_Disease,Brain_Tissue,CDKN2A
Alzheimers_Disease,Brain_Tissue,CDKN1A
Alzheimers_Disease,Brain_Tissue,TP53
Alzheimers_Disease,Brain_Tissue,MDM2
Alzheimers_Disease,Brain_Tissue,ATM
Alzheimers_Disease,Brain_Tissue,BRCA1
Alzheimers_Disease,Brain_Tissue,PARP1
Alzheimers_Disease,Brain_Tissue,CCND1
Alzheimers_Disease,Brain_Tissue,CCNE1
Alzheimers_Disease,Brain_Tissue,E2F1
Alzheimers_Disease,Brain_Tissue,TF
Alzheimers_Disease,Brain_Tissue,TFRC
Alzheimers_Disease,Brain_Tissue,FTH1
Alzheimers_Disease,Brain_Tissue,FTL
Alzheimers_Disease,Brain_Tissue,HFE
Alzheimers_Disease,Brain_Tissue,SLC11A2
Alzheimers_Disease,Brain_Tissue,ACSL4
Alzheimers_Disease,Brain_Tissue,ALOX5
Alzheimers_Disease,Brain_Tissue,ALOX15
Alzheimers_Disease,Brain_Tissue,INSR
Alzheimers_Disease,Brain_Tissue,IRS1
Alzheimers_Disease,Brain_Tissue,IRS2
Alzheimers_Disease,Brain_Tissue,IGF1
Alzheimers_Disease,Brain_Tissue,IGF1R
Alzheimers_Disease,Brain_Tissue,GLP1R
Alzheimers_Disease,Brain_Tissue,SLC2A1
Alzheimers_Disease,Brain_Tissue,SLC2A3
Alzheimers_Disease,Brain_Tissue,AKT1
Alzheimers_Disease,Brain_Tissue,AKT3
Alzheimers_Disease,Brain_Tissue,PIK3CA
Alzheimers_Disease,Brain_Tissue,PIK3R1
Alzheimers_Disease,Brain_Tissue,FOXO1
Alzheimers_Disease,Brain_Tissue,FOXO3
Alzheimers_Disease,Brain_Tissue,CTNNB1
Alzheimers_Disease,Brain_Tissue,WNT3A
Alzheimers_Disease,Brain_Tissue,DKK1
Alzheimers_Disease,Brain_Tissue,SFRP1
Alzheimers_Disease,Brain_Tissue,NOTCH1
Alzheimers_Disease,Brain_Tissue,NOTCH3
Alzheimers_Disease,Brain_Tissue,JAG1
Alzheimers_Disease,Brain_Tissue,RYR2
Alzheimers_Disease,Brain_Tissue,RYR3
Alzheimers_Disease,Brain_Tissue,CACNA1C
Alzheimers_Disease,Brain_Tissue,CALB1
Alzheimers_Disease,Brain_Tissue,CALM1
Alzheimers_Disease,Brain_Tissue,ITPR1
Alzheimers_Disease,Brain_Tissue,STIM1
Alzheimers_Disease,Brain_Tissue,ORAI1
Alzheimers_Disease,Brain_Tissue,HSPA5
Alzheimers_Disease,Brain_Tissue,DDIT3
Alzheimers_Disease,Brain_Tissue,ATF4
Alzheimers_Disease,Brain_Tissue,ATF6
Alzheimers_Disease,Brain_Tissue,XBP1
Alzheimers_Disease,Brain_Tissue,ERN1
Alzheimers_Disease,Brain_Tissue,EIF2AK3
Alzheimers_Disease,Brain_Tissue,EIF2AK2
Alzheimers_Disease,Brain_Tissue,APOA4
Alzheimers_Disease,Brain_Tissue,LRP6
Alzheimers_Disease,Brain_Tissue,SORCS2
Alzheimers_Disease,Brain_Tissue,C4B
Alzheimers_Disease,Brain_Tissue,DSG2
Alzheimers_Disease,Brain_Tissue,PRDX2
